,q1AgeBeginCoding,q2Age,q3Gender,q4Education,q5DegreeFocus,q6LearnCodeUni,q6LearnCodeSelfTaught,q6LearnCodeAccelTrain,q8JobLevel,q9CurrentRole,q10Industry,q12JobCritPrefTechStack,q12JobCritCompMission,q12JobCritCompCulture,q12JobCritWorkLifeBal,q12JobCritCompensation,q12JobCritProximity,q12JobCritPerks,q12JobCritSmartPeopleTeam,q12JobCritImpactwithProduct,q12JobCritInterestProblems,q12JobCritFundingandValuation,q12JobCritStability,q12JobCritProfGrowth
4,3,4,1,5,0,1,1,0,5,2,14,0,1,0,1,0,0,0,1,0,0,0,0,0
6,3,6,0,7,1,0,1,0,9,19,5,0,1,0,0,1,1,0,0,0,0,0,0,0
12,3,4,0,5,1,1,1,0,5,9,12,0,0,1,0,0,0,0,1,0,0,0,0,1
13,5,4,1,3,2,0,1,1,4,9,14,0,0,0,0,1,1,0,0,0,0,0,0,1
20,1,4,0,7,1,1,1,0,8,9,5,1,1,1,1,0,1,0,1,0,1,1,0,1
21,3,4,0,5,2,1,0,0,5,4,14,0,0,0,1,0,0,0,1,0,0,0,0,1
25,2,4,0,5,1,1,1,0,5,9,5,0,0,0,0,0,0,0,1,0,1,0,0,1
27,4,4,0,2,1,1,0,0,5,4,14,1,0,0,1,0,0,0,1,0,1,1,0,1
31,3,3,0,5,1,1,1,0,5,6,14,0,1,0,0,1,0,0,0,0,0,0,0,1
33,3,4,1,7,1,1,1,0,5,3,5,1,0,0,0,1,0,0,0,0,1,0,0,1
35,3,3,0,5,1,1,1,1,5,4,14,1,0,1,1,0,0,0,1,1,1,0,1,1
36,3,3,0,6,2,1,1,0,4,4,5,0,0,0,1,0,0,0,0,0,1,0,0,1
38,3,4,0,5,1,1,0,0,5,3,13,0,0,0,1,1,1,0,0,0,0,0,1,1
39,2,6,0,3,1,0,1,0,8,9,13,1,0,0,0,0,0,0,1,0,0,0,0,1
40,2,6,0,5,1,0,1,0,10,11,14,1,0,1,0,1,0,0,0,0,0,0,0,0
41,4,4,0,7,1,1,0,0,5,9,16,0,0,1,0,1,0,0,1,0,0,0,0,0
42,3,4,0,5,1,1,0,0,5,9,5,0,0,0,0,1,0,0,1,0,0,0,0,1
43,3,4,0,7,1,1,0,0,6,11,11,0,0,0,1,1,1,0,0,0,0,0,0,0
44,2,5,0,7,2,1,1,0,6,3,14,0,0,0,1,1,0,0,1,0,0,0,0,0
47,2,4,1,5,1,1,1,0,5,4,9,0,1,0,0,0,1,0,0,0,0,0,0,1
52,3,4,0,7,2,1,1,0,5,9,14,0,0,0,0,1,0,0,1,0,1,0,0,1
54,3,4,0,5,1,1,0,0,5,7,12,0,0,0,1,1,0,0,0,1,0,0,0,0
57,3,4,0,7,1,1,1,0,5,7,16,0,0,0,1,1,0,0,0,0,0,0,1,0
